8|5|4.30|30.3.2021|Kahvinen, vähän karamellinen, aika katkera, voisi olla vähemmän humaloitu
9|6|3.00|30.3.2021|Raikas, mukava humalointi, hedelmäinen, maku vastaa ulkonäköä
10|7|3.00|30.3.2021|Hedelmäinen, raikas, kirpsakka, kevyesti humaloitu
11|8|4.50|30.3.2021|Tyypillinen porterin maku, kahvinen, paahteinen, maltainen, tykkään
14|9|3.50||
15|6|3.50|21.3.2021|
16|11|3.80|31.3.2021|hyvää
17|4|2.50|16.4.2021|hyvvää
18|3|2.50|31.3.2021|
19|3|5.00||
20|10|3.90||

